ds,y,yhat,yhat_lower,yhat_upper,Forecast_Anomaly
2019-11-22,27875.62,28409.87876841386,27380.229343667605,29486.16122361591,0
2019-11-25,28066.47,28462.363004533054,27306.85245757958,29515.56797088607,0
2019-11-26,28121.68,28491.961020622664,27399.978616360164,29624.392019693234,0
2019-11-27,28164.0,28490.60165167585,27384.506331372955,29581.021274514795,0
2019-11-29,28051.41,28502.41425392497,27404.10367345131,29659.45118571703,0
2019-12-02,27783.04,28485.647651484505,27418.88073591871,29571.9078342834,0
2019-12-03,27502.81,28493.932577249023,27335.242024476065,29613.28076917351,0
2019-12-04,27649.78,28472.770280826106,27306.71175770147,29650.29080553272,0
2019-12-05,27677.79,28419.41960341162,27400.39090187129,29538.86466156627,0
2019-12-06,28015.06,28387.589776297104,27340.91304354104,29414.115769928143,0
2019-12-09,27909.6,28245.362040783184,27131.221054847232,29280.61849331014,0
2019-12-10,27881.72,28218.244911224327,27126.56319285406,29338.866678831404,0
2019-12-11,27911.3,28165.191881739844,27173.539481846372,29279.444922844825,0
2019-12-12,28132.05,28115.24993269658,27003.622620092196,29212.449442615907,0
2019-12-13,28135.38,28090.446646460554,27051.98124426095,29182.90499756618,0
2019-12-16,28235.89,27990.080490546068,26894.166298313074,29009.978019954393,0
2019-12-17,28267.16,27983.163318572737,26845.06786455906,29028.498236669115,0
2019-12-18,28239.28,27952.913316434653,26812.363907821742,29066.70047082989,0
2019-12-19,28376.96,27927.96745140969,26856.498036808767,28931.793149982062,0
2019-12-20,28455.09,27929.887767934,26851.819289034665,29011.45195800553,0
2019-12-23,28551.53,27914.773614357655,26807.217080674054,28987.8686520286,0
2019-12-24,28515.45,27936.076965581204,26913.40688625847,29089.225946831455,0
2019-12-26,28621.39,27933.568249445783,26894.169712742685,28957.311341695808,0
2019-12-27,28645.26,27958.859524403528,26783.18065438313,29088.285159274717,0
2019-12-30,28462.14,27996.29574295281,26874.136031760903,29097.410836981373,0
2019-12-31,28538.44,28028.04837817206,26978.65401637936,29164.5962081144,0
2020-01-02,28868.8,28034.488876947686,26957.33803147567,29189.450167815394,0
2020-01-03,28634.88,28058.14720717258,27011.968593071753,29173.600104006684,0
2020-01-06,28703.38,28067.473111400075,27085.267559064734,29232.022841030237,0
2020-01-07,28583.68,28083.002633599204,27015.92115784339,29215.54857821531,0
2020-01-08,28745.09,28067.419446717806,27069.80863089125,29119.039107340162,0
2020-01-09,28956.9,28049.18705893321,26996.40859267363,29073.162451828724,0
2020-01-10,28823.77,28049.87691696462,26973.046488024742,29248.128007217918,0
2020-01-13,28907.05,27986.24293281231,26931.41296055856,29121.883277010034,0
2020-01-14,28939.67,27978.246515945633,26861.679397623422,29066.917800313327,0
2020-01-15,29030.22,27940.59248377833,26866.74835761008,29066.03836716001,0
2020-01-16,29297.64,27902.336191308947,26805.3074993783,29051.862616699378,1
2020-01-17,29348.1,27885.590297859704,26836.558732594833,28911.67489148616,1
2020-01-21,29196.04,27778.38788504641,26601.44980528016,28871.79908307186,1
2020-01-22,29186.27,27741.668232211894,26618.644936133667,28826.657156506208,1
2020-01-23,29160.09,27708.432566432606,26667.54842588097,28897.586015756377,1
2020-01-24,28989.73,27700.68056786418,26606.086659572145,28743.916059810264,1
2020-01-27,28535.8,27652.712205686963,26545.689512143155,28697.229520423694,0
